    Residual          Y-hat        Observation
   -0.266060         19.7739         19.5079    
    0.471689         20.3836         20.8553    
   -0.762784E-01     19.4563         19.3800    
     1.02861         19.2722         20.3008    
    0.374217         20.2660         20.6403    
   -0.315914         19.0663         18.7504    
    -1.04645         19.0706         18.0241    
    0.188215         19.4899         19.6781    
    0.824717         19.7203         20.5450    
    0.450607         20.6787         21.1293    
    0.512477         20.8749         21.3873    
    0.834392         20.1691         21.0035    
     1.17138         20.4987         21.6701    
    0.902550         21.0887         21.9912    
   -0.188039         20.0916         19.9036    
   -0.613038         19.4706         18.8576    
   -0.462965         19.8919         19.4290    
    0.330970         20.2577         20.5886    
    0.203610         19.9172         20.1208    
   -0.342536         19.6426         19.3001    
    0.508883         20.2585         20.7674    
   -0.393117E-02     19.8250         19.8210    
     1.77275         20.3306         22.1033    
    -1.77979         18.9748         17.1950    
    -1.11661         18.1643         17.0477    
    0.261095         20.4666         20.7277    
   -0.818950         20.4410         19.6220    
   -0.433676E-02     19.6147         19.6103    
   -0.161896         19.3366         19.1747    
   -0.435511         19.2895         18.8540    
     1.01689         21.3328         22.3497    
   -0.245087         20.1632         19.9181    
   -0.626453         19.7387         19.1122    
    0.347309         20.1663         20.5136    
   -0.952310E-01     20.0046         19.9094    
   -0.762274         20.7133         19.9511    
    0.257650         20.3794         20.6370    
     1.41390         20.2914         21.7053    
   -0.720996         19.0928         18.3718    
    0.797525         20.5850         21.3825    
     1.34523         21.5543         22.8995    
    0.171078         20.7339         20.9050    
     1.11722         20.6132         21.7304    
   -0.116820         19.4886         19.3718    
    0.953517         20.3868         21.3404    
   -0.269768         19.7164         19.4467    
   -0.520180         19.2461         18.7259    
    -1.12033         18.6598         17.5395    
   -0.589119         19.0821         18.4929    
   -0.519509         19.4179         18.8984    
     1.66882         21.0361         22.7050    
   -0.769448         19.9037         19.1343    
   -0.477602         19.2623         18.7847    
    0.679480         19.5934         20.2729    
    0.684575         19.9441         20.6287    
    0.779608         19.3548         20.1345    
    0.752446         19.9040         20.6564    
    0.453991         20.2242         20.6782    
    0.542611E-01     20.0052         20.0594    
   -0.473672         20.0955         19.6218    
    0.444761E-01     19.8327         19.8772    
   -0.482220         18.9283         18.4461    
   -0.298561E-01     19.1804         19.1505    
    0.215956         19.6201         19.8360    
   -0.381636E-01     19.3537         19.3156    
   -0.681901         18.8361         18.1542    
   -0.190558         19.5704         19.3799    
    0.912277         21.0836         21.9959    
     1.22439         21.3792         22.6036    
    0.763657         19.6957         20.4593    
   -0.417086         19.7146         19.2975    
   -0.228879         19.5290         19.3002    
    0.160865         20.7604         20.9213    
   -0.430639         19.9092         19.4785    
    0.264913E-01     20.1597         20.1862    
   -0.159390         19.2606         19.1012    
   -0.646532         18.7102         18.0637    
    0.760582         20.2250         20.9856    
    0.536418         20.3664         20.9028    
   -0.362731         19.6583         19.2955    
   -0.950659         19.2665         18.3158    
    -1.30914         19.1236         17.8144    
   -0.297783         19.6810         19.3832    
    0.590526         20.0311         20.6216    
    0.583099         19.5912         20.1743    
    0.511178         19.8588         20.3700    
    -1.68213         18.6568         16.9747    
     1.03586         20.4550         21.4909    
   -0.656010         19.5278         18.8718    
   -0.878147E-01     19.8392         19.7514    
     1.32268         19.8102         21.1329    
   -0.857570         18.5570         17.6994    
   -0.619285         18.6047         17.9854    
    0.280313         19.2986         19.5789    
   -0.197101         19.1854         18.9883    
    0.701710E-01     19.5211         19.5913    
    0.420826         21.5210         21.9418    
   -0.797787         21.3751         20.5774    
   -0.875433         20.2681         19.3927    
    -1.80452         19.3919         17.5874    
    0.839368         21.0496         21.8889    
   -0.249302         19.6558         19.4065    
   -0.572757         19.2436         18.6709    
   -0.309699         19.9189         19.6092    
   -0.722414         20.3912         19.6688    
     1.12155         20.2257         21.3473    
    -1.02461         19.5311         18.5065    
    0.469083E-01     19.6368         19.6837    
    -1.34530         18.8296         17.4843    
    0.140912         20.5841         20.7250    
    0.399554         20.5331         20.9327    
   -0.640897E-01     20.0581         19.9940    
     1.04640         19.9484         20.9948    
    -1.61408         18.8589         17.2449    
    0.547136         20.5333         21.0804    
    0.480926         20.6901         21.1711    
   -0.509909         20.0150         19.5051    
   -0.860406         19.3367         18.4763    
    0.496904         19.8112         20.3081    
   -0.491511         19.6192         19.1277    
   -0.386170E-01     19.8674         19.8288    
   -0.463085         19.6916         19.2285    
    0.515895         20.5322         21.0481    
    0.380516         21.7484         22.1289    
    -1.21933         19.7084         18.4891    
   -0.436927         20.0833         19.6464    
    0.400846         20.0202         20.4210    
    -1.11695         17.4661         16.3491    
   -0.204710         18.4115         18.2068    
   -0.712570         18.1652         17.4526    
    0.302119         19.2473         19.5494    
    0.202298         19.2784         19.4807    
    -1.40130         18.9114         17.5101    
   -0.262782         19.1008         18.8381    
   -0.557521         19.5999         19.0424    
    0.438719         19.9024         20.3411    
    0.171243         20.3456         20.5168    
   -0.527798         19.4182         18.8904    
    0.391560E-01     19.4213         19.4604    
    0.369318         20.0200         20.3893    
   -0.505722         19.7638         19.2580    
    -1.09511         19.6226         18.5275    
   -0.143957         20.6856         20.5417    
    -2.27408         18.6983         16.4242    
     1.36985         20.8145         22.1844    
    0.764825         20.6076         21.3724    
    0.406522         20.1066         20.5131    
    0.360689         19.7779         20.1386    
    -1.12188         18.9654         17.8436    
    0.170508         20.2001         20.3706    
   -0.590160         19.6489         19.0587    
    0.121630         19.6294         19.7511    
     1.20830         20.6345         21.8428    
   -0.706731         20.4108         19.7041    
    0.434344         21.0438         21.4781    
   -0.378963         21.0682         20.6893    
     1.34143         21.1606         22.5020    
    -1.21448         18.5010         17.2865    
    0.432642         19.8032         20.2358    
     1.14844         20.6850         21.8334    
    -1.14871         19.5620         18.4133    
     1.43600         20.9377         22.3737    
     1.01113         20.6444         21.6556    
     2.10231         20.1801         22.2824    
    -1.19502         18.3174         17.1224    
    0.546985         19.2721         19.8190    
   -0.998730         18.4250         17.4262    
   -0.825439         19.6789         18.8535    
    0.141313         19.9853         20.1266    
   -0.252690         19.5427         19.2900    
     1.75397         20.8437         22.5977    
    0.588293         20.2296         20.8179    
     1.90945         22.7046         24.6141    
   -0.146333         21.5754         21.4291    
    0.252659         19.9994         20.2521    
    0.353549         20.0346         20.3881    
    -1.02423         18.6758         17.6516    
    0.341705         18.3163         18.6580    
   -0.712276         19.3559         18.6436    
    0.437831         20.6540         21.0918    
    0.430476         20.8540         21.2844    
   -0.675338         20.1756         19.5003    
    0.610700         20.7487         21.3594    
    -1.59120         19.5259         17.9347    
   -0.343992         19.8183         19.4743    
   -0.386282E-01     19.9857         19.9471    
    0.743787         21.0520         21.7958    
   -0.629721         19.1813         18.5516    
    0.382936         19.9921         20.3751    
    0.885979E-01     19.5581         19.6467    
     1.12252         20.7049         21.8275    
    -1.92519         17.8953         15.9701    
    0.257274         19.2121         19.4694    
    0.545745         19.7621         20.3078    
     1.02174         20.4495         21.4712    
    0.779048         21.3078         22.0869    
   -0.702801         20.4957         19.7929    
    0.404724         20.4551         20.8598    
   -0.468809         19.5552         19.0864    
   -0.599367         19.4837         18.8843    
    0.304791         20.1474         20.4522    
    0.920390         21.1348         22.0552    
   -0.556310         18.7309         18.1746    
   -0.612666         18.5919         17.9792    
    0.510835         19.3157         19.8266    
    0.649334E-01     18.7572         18.8221    
    0.357326         19.3611         19.7184    
   -0.243800         18.8047         18.5609    
    0.636081         20.2892         20.9252    
    0.465648         20.4637         20.9293    
   -0.398360         19.6854         19.2870    
    0.916760         20.0343         20.9511    
   -0.738854         18.9494         18.2106    
    0.456605         18.9717         19.4283    
    0.631133E-01     18.8259         18.8890    
    0.364130         19.5637         19.9278    
    0.138220         19.5395         19.6777    
   -0.136417         19.5938         19.4574    
    -2.63352         18.4767         15.8432    
     2.84938         21.4752         24.3246    
   -0.109690         19.7152         19.6055    
    0.459007         19.9991         20.4581    
    0.824470E-01     19.4968         19.5792    
   -0.749015         19.6091         18.8601    
   -0.132265         19.5405         19.4082    
   -0.188527         19.5663         19.3778    
    0.296478         19.8321         20.1286    
   -0.103061E-01     18.3390         18.3287    
    0.371164         19.2864         19.6575    
    0.371291E-01     19.1033         19.1404    
   -0.624037         19.5459         18.9218    
    0.569188         20.1998         20.7690    
    -1.31048         19.1697         17.8592    
   -0.466878         19.9905         19.5237    
    0.134323         20.1440         20.2783    
   -0.107148         19.5877         19.4805    
    0.748715         21.7024         22.4511    
   -0.844865         20.6263         19.7814    
   -0.305418         20.9018         20.5963    
    -1.42695         18.8851         17.4582    
    0.460560         20.4816         20.9422    
     1.10533         21.0594         22.1648    
   -0.640912         18.8063         18.1654    
    -1.47705         18.9170         17.4399    
    0.211493         19.2832         19.4947    
   -0.296366         19.9969         19.7006    
   -0.615514E-01     19.9397         19.8782    
    0.889156         21.6161         22.5053    
    0.933199         21.4239         22.3571    
   -0.387023E-01     20.8912         20.8525    
   -0.670775         19.8430         19.1723    
    -1.06377         19.6277         18.5639    
   -0.717284         19.8176         19.1003    
    0.254150         20.6494         20.9036    
   -0.440049         20.3242         19.8842    
    0.675974E-01     20.1936         20.2612    
   -0.491781         20.0174         19.5256    
   -0.254000         19.7885         19.5345    
   -0.545574         19.9448         19.3992    
    0.149671         19.2548         19.4045    
   -0.212889         19.1807         18.9678    
   -0.950181         18.9530         18.0028    
